Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JULY 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,ANNUAL TOTAL,,,,,
WAYMO LLC,AVT003,SADHW2S18M1616083,0,0,0,0,0,0,0,0,3.6,9.6,0,0,0,13.2,,,,,
WAYMO LLC,AVT003,SADHW2S13M1616069,0,0,0,0,0,0,0,0,243.9,817.8,518.2,3123.8,2649.4,7353.1,,,,,
WAYMO LLC,AVT003,SADHW2S16M1616325,1,0,0,0,0,0,0,0,828,1774.2,2917.5,2663.6,2804.2,10987.5,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616239,0,0,0,0,0,0,0,49.7,79.2,246,488.7,1232.7,1524.2,3620.5,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1616103,0,0,0,0,0,0,0,68.8,981.1,809.8,516.7,1817.4,2704.7,6898.5,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615613,0,0,0,0,0,0,0,0,683.8,686.8,1821.8,0,2482.1,5674.5,,,,,
WAYMO LLC,AVT003,SADHW2S19M1615671,0,0,0,0,0,0,0,0,206.2,0,0,0,0,206.2,,,,,
WAYMO LLC,AVT003,SADHW2S15M1615716,0,0,0,0,0,0,0,0,291.4,359.4,379.4,2058.8,759.8,3848.8,,,,,
WAYMO LLC,AVT003,SADHW2S16M1616051,0,0,0,0,0,0,0,0,312.2,382.6,537.2,2939,2857.4,7028.4,,,,,
WAYMO LLC,AVT003,SADHW2S11M1615549,0,0,0,0,0,0,0,0,517.8,452.8,132,1877.4,2030.6,5010.6,,,,,
WAYMO LLC,AVT003,SADHW2S13M1615780,1,0,0,0,0,0,0,0,787.9,2108.9,1841.6,1388.9,2968.6,9095.9,,,,,
WAYMO LLC,AVT003,SADHW2S14M1615982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1615629,0,0,0,0,0,0,0,0,71.8,935.4,762.7,212.2,1985.9,3968,,,,,
WAYMO LLC,AVT003,SADHW2S13M1615889,1,0,0,0,0,0,0,0,967.2,1128.2,805.5,1639.3,2280,6820.2,,,,,
WAYMO LLC,AVT003,SADHW2S19M1615749,0,0,0,0,0,0,0,0,610.7,1043.4,786.9,1542,2212,6195,,,,,
